"puma_id","puma_name","occupation_id","occupation_name","total_population","average_wage"
"79500US2603006","Warren & Center Line Cities PUMA, MI","111021","General & operations managers",908,62166.25220264317
"79500US2603006","Warren & Center Line Cities PUMA, MI","1110XX","Chief executives & legislators",646,60819.90092879257
"79500US2603006","Warren & Center Line Cities PUMA, MI","112020","Marketing & sales managers",821,49906.688185140076
"79500US2603006","Warren & Center Line Cities PUMA, MI","112021","Marketing managers",55,65851.3090909091
"79500US2603006","Warren & Center Line Cities PUMA, MI","112022","Sales managers",62,75982.2741935484
"79500US2603006","Warren & Center Line Cities PUMA, MI","112031","Public relations & fundraising managers",64,143588.84375
"79500US2603006","Warren & Center Line Cities PUMA, MI","113011","Administrative services managers (Legacy)",206,45034.13106796116
"79500US2603006","Warren & Center Line Cities PUMA, MI","113013","Facilities managers",68,73956.08823529411
"79500US2603006","Warren & Center Line Cities PUMA, MI","113021","Computer & information systems managers",537,86007.24581005587
"79500US2603006","Warren & Center Line Cities PUMA, MI","113031","Financial managers",1218,36369.791461412155
"79500US2603006","Warren & Center Line Cities PUMA, MI","113051","Industrial production managers",306,103043.47385620915
"79500US2603006","Warren & Center Line Cities PUMA, MI","113061","Purchasing managers",242,0.0
"79500US2603006","Warren & Center Line Cities PUMA, MI","113071","Transportation, storage, & distribution managers",385,70559.4909090909
"79500US2603006","Warren & Center Line Cities PUMA, MI","113111","Compensation & benefits managers",98,0.0
"79500US2603006","Warren & Center Line Cities PUMA, MI","113121","Human resources managers",386,81379.16321243523
"79500US2603006","Warren & Center Line Cities PUMA, MI","113131","Training & development managers",103,0.0
"79500US2603006","Warren & Center Line Cities PUMA, MI","119013","Farmers, ranchers, & other agricultural managers",82,65493.21951219512
"79500US2603006","Warren & Center Line Cities PUMA, MI","119021","Construction managers",525,31180.472380952382
"79500US2603006","Warren & Center Line Cities PUMA, MI","119030","Education administrators",1061,50663.92365692743
"79500US2603006","Warren & Center Line Cities PUMA, MI","119041","Architectural & engineering managers",373,242111.65415549598
"79500US2603006","Warren & Center Line Cities PUMA, MI","119051","Food service managers",2190,27875.679452054796
"79500US2603006","Warren & Center Line Cities PUMA, MI","119081","Lodging managers",136,62522.36029411765
"79500US2603006","Warren & Center Line Cities PUMA, MI","119111","Medical & health services managers",1065,28781.69765258216
"79500US2603006","Warren & Center Line Cities PUMA, MI","119141","Property, real estate, & community association managers",928,28894.063577586207
"79500US2603006","Warren & Center Line Cities PUMA, MI","119151","Social & community service managers",195,19059.979487179487
"79500US2603006","Warren & Center Line Cities PUMA, MI","119161","Emergency management directors",188,78461.12765957447
"79500US2603006","Warren & Center Line Cities PUMA, MI","1191XX","Other managers",1886,85363.08854718982
"79500US2603006","Warren & Center Line Cities PUMA, MI","119XXX","Miscellaneous managers",5727,56190.53273965427
"79500US2603006","Warren & Center Line Cities PUMA, MI","131011","Agents & business managers of artists, performers, & athletes",206,23046.572815533982
"79500US2603006","Warren & Center Line Cities PUMA, MI","131022","Wholesale & retail buyers, except farm products",401,28967.658354114712
"79500US2603006","Warren & Center Line Cities PUMA, MI","131023","Purchasing agents, except wholesale, retail, & farm products",906,49604.45584988962
"79500US2603006","Warren & Center Line Cities PUMA, MI","131030","Claims adjusters, appraisers, examiners, & investigators",1057,25946.109744560075
"79500US2603006","Warren & Center Line Cities PUMA, MI","131041","Compliance officers",337,45939.06528189911
