"statefp10","pumace10","namelsad10","mtfcc10","funcstat10","aland10","awater10","intptlat10","intptlon10","short_name","geoid","state_id","name","state_name","slug","nation_id","nation_name"
"12","05701",Tampa City (Central) PUMA,G6120,S,79855752,2369516.0,+28.0097860,-082.4396977,Tampa City (Central) PUMA,"79500US1205701","04000US12","Tampa City (Central) PUMA, FL",Florida,tampa-city-(central)-puma-fl,"01000US",United States
"12","05704",Hillsborough County (North Central) PUMA,G6120,S,158167872,16714484,+28.0944926,-082.4896056,Hillsborough County (North Central) PUMA,"79500US1205704","04000US12","Hillsborough County (North Central) PUMA, FL",Florida,hillsborough-county-(north-central)-puma-fl,"01000US",United States
"12","10101",Pasco County (East Central) PUMA,G6120,S,1054738368,26816030,+28.3415126,-082.2633960,Pasco County (East Central) PUMA,"79500US1210101","04000US12","Pasco County (East Central) PUMA, FL",Florida,pasco-county-(east-central)-puma-fl,"01000US",United States
"12","06903",Lake (South) & Sumter (South) Counties PUMA,G6120,S,1989393792,338391904,+28.5864517,-081.9143674,Lake (South) & Sumter (South) Counties PUMA,"79500US1206903","04000US12","Lake (South) & Sumter (South) Counties PUMA, FL",Florida,lake-(south)-and-sumter-(south)-counties-puma-fl,"01000US",United States
"12","06901",Lake County (North) PUMA,G6120,S,1118812800,170346064,+28.9344949,-081.5641892,Lake County (North) PUMA,"79500US1206901","04000US12","Lake County (North) PUMA, FL",Florida,lake-county-(north)-puma-fl,"01000US",United States
"26","03207",Downriver Area (North) PUMA,G6120,S,68359856,8572442.0,+42.2472421,-083.1710646,Downriver Area (North) PUMA,"79500US2603207","04000US26","Downriver Area (North) PUMA, MI",Michigan,downriver-area-(north)-puma-mi,"01000US",United States
"26","03206",Downriver Area (South) PUMA,G6120,S,178692000,50070160,+42.1245230,-083.2067606,Downriver Area (South) PUMA,"79500US2603206","04000US26","Downriver Area (South) PUMA, MI",Michigan,downriver-area-(south)-puma-mi,"01000US",United States
"26","02500",Lenawee & Hillsdale Counties PUMA,G6120,S,3490544128,53625784,+41.8902117,-084.3035995,Lenawee & Hillsdale Counties PUMA,"79500US2602500","04000US26","Lenawee & Hillsdale Counties PUMA, MI",Michigan,lenawee-and-hillsdale-counties-puma-mi,"01000US",United States
"26","02200",St. Joseph & Branch Counties PUMA,G6120,S,2608104448,87345600,+41.9159130,-085.3008870,St. Joseph & Branch Counties PUMA,"79500US2602200","04000US26","St. Joseph & Branch Counties PUMA, MI",Michigan,st.-joseph-and-branch-counties-puma-mi,"01000US",United States
"26","02300",Van Buren & Cass Counties PUMA,G6120,S,2843499776,1295852032,+42.1633402,-086.2076595,Van Buren & Cass Counties PUMA,"79500US2602300","04000US26","Van Buren & Cass Counties PUMA, MI",Michigan,van-buren-and-cass-counties-puma-mi,"01000US",United States
"26","02400",Berrien County PUMA,G6120,S,1470473600,2625519872,+41.8923619,-086.7329744,Berrien County PUMA,"79500US2602400","04000US26","Berrien County PUMA, MI",Michigan,berrien-county-puma-mi,"01000US",United States
"26","00900",Allegan County PUMA,G6120,S,2137372928,2610825984,+42.5739748,-086.6343819,Allegan County PUMA,"79500US2600900","04000US26","Allegan County PUMA, MI",Michigan,allegan-county-puma-mi,"01000US",United States
"26","00801",Ottawa County (West) PUMA,G6120,S,613012672,2756291584,+42.9502842,-086.6668803,Ottawa County (West) PUMA,"79500US2600801","04000US26","Ottawa County (West) PUMA, MI",Michigan,ottawa-county-(west)-puma-mi,"01000US",United States
"26","00700",Muskegon County PUMA,G6120,S,1298494592,2482949888,+43.2664158,-086.7543290,Muskegon County PUMA,"79500US2600700","04000US26","Muskegon County PUMA, MI",Michigan,muskegon-county-puma-mi,"01000US",United States
"26","00600","Newaygo, Mason, Oceana & Lake Counties PUMA",G6120,S,6220491264,4099257600,+43.7816110,-086.2939710,"Newaygo, Mason, Oceana & Lake Counties PUMA","79500US2600600","04000US26","Newaygo, Mason, Oceana & Lake Counties PUMA, MI",Michigan,newaygo-mason-oceana-and-lake-counties-puma-mi,"01000US",United States
"27","00800",West Central Minnesota PUMA,G6120,S,18015053824,1228017280,+45.9464292,-095.8854485,West Central Minnesota PUMA,"79500US2700800","04000US27","West Central Minnesota PUMA, MN",Minnesota,west-central-minnesota-puma-mn,"01000US",United States
